Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-1-M-M-N-16,Great Lakes Institute of Management,Chennai,Tamil Nadu,55.25,82.19,16.42,85.63,67.98,17.34,2018,16
IR-3-M-OEM-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,53.43,72.68,40.84,66.02,46.37,15.4,2018,17
IR-1-M-M-C-19343,Symbiosis Institute of Business Management,Pune,Maharashtra,52.8,72.37,9.33,94.27,66.26,28.11,2018,18
IR-1-M-M-I-1044,S. P. Jain Institute of Management & Research,Mumbai,Maharashtra,52.31,68.5,16.83,96.0,58.24,16.86,2018,19
IR-1-M-M-S-8967,Indian Institute of Management Kashipur,Kashipur,Uttarakhand,51.2,75.51,15.24,89.18,51.34,10.13,2018,20
IR-1-M-M-S-8868,Indian Institute of Management Raipur,Raipur,Chhattisgarh,51.17,57.68,25.44,89.86,64.92,17.81,2018,21
IR-2-M-OM-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,51.16,66.42,24.96,79.55,71.73,6.61,2018,22
IR-1-M-M-U-0102,Indian Institute of Foreign Trade,New Delhi,Delhi,51.11,65.86,18.89,81.01,58.68,36.07,2018,23
IR-6-M-OEMAPC-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,51.03,70.34,14.8,85.83,69.76,13.37,2018,24
IR-1-M-M-I-1064,International Management Institute New Delhi,New Delhi,Delhi,50.94,71.92,19.63,80.91,62.81,10.13,2018,25
IR-1-M-M-S-8937,Rajiv Gandhi Indian Institute of Management,Shillong,Meghalaya,50.53,77.31,6.45,92.16,55.35,14.4,2018,26
IR-1-M-M-S-8895,Indian Institute of Management Rohtak,Rohtak,Haryana,50.33,53.21,33.93,88.24,52.01,13.37,2018,27
IR-4-M-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,50.28,48.6,47.66,57.9,51.53,46.67,2018,28
IR-3-M-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,50.11,53.73,50.09,62.99,48.21,15.4,2018,29
IR-5-M-OEMLD-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,49.31,70.84,18.43,77.91,61.68,7.82,2018,30
IR-1-M-M-S-394,Institute of Management Technology,Ghaziabad,Uttar Pradesh,48.59,58.38,26.21,82.87,57.49,8.99,2018,31
IR-1-M-M-S-331,Loyola Institute of Business Administration,Chennai,Tamil Nadu,47.47,69.39,1.45,85.04,53.66,38.41,2018,32
IR-3-M-OEM-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,47.37,59.62,22.65,72.43,51.04,30.94,2018,33
IR-5-M-OEMAL-U-0108,Jamia Millia Islamia,New Delhi,Delhi,47.08,62.14,24.75,70.39,65.33,4.09,2018,34
IR-1-M-M-I-1238,Institute for Financial Management and Research,Satyavedu,Andhra Pradesh,47.08,70.87,6.68,85.51,67.19,0.0,2018,34
IR-2-M-OM-U-0715,Xavier University,Bhuabaneswar,Odisha,46.76,59.11,18.22,89.56,46.88,9.56,2018,36
IR-1-M-M-I-1066,Fore School of Management,New Delhi,Delhi,46.06,72.01,6.61,81.31,55.05,7.22,2018,37
IR-4-M-MAPC-U-0379,Lovely Professional University,Jalandhar,Punjab,44.75,61.13,21.31,60.51,75.75,3.44,2018,38
IR-3-M-OMD-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,44.72,65.9,11.31,73.07,50.28,19.19,2018,39
IR-1-M-M-S-8904,Indian Institute of Management Ranchi,Ranchi,Jharkhand,44.21,55.34,6.46,90.4,58.55,17.34,2018,40
IR-1-M-M-I-1058,Indian Institute of Forest Management,Bhopal,Madhya Pradesh,43.81,71.38,1.49,74.51,56.64,13.89,2018,41
IR-6-M-OEMLDP-U-0078,Panjab University,Chandigarh,Chandigarh,43.8,57.4,19.81,75.82,46.38,8.41,2018,42
